iter	Logloss
0	0.6225279028
1	0.5791344878
2	0.5449803231
3	0.5271086055
4	0.5135699374
5	0.5058354044
6	0.4981323055
7	0.4926738186
8	0.4883813203
9	0.4845723074
10	0.4825300265
11	0.4783415055
12	0.4772446635
13	0.4726133399
14	0.4717556956
15	0.4703382499
16	0.4683785709
17	0.4655931431
18	0.464970022
19	0.4617827859
20	0.4569878775
21	0.4552399313
22	0.4547551342
23	0.4503629573
24	0.4435499862
25	0.4422201253
26	0.4413339626
27	0.4399283757
28	0.4392582694
29	0.4383316085
30	0.4334539287
31	0.4320188734
32	0.4306956008
33	0.4301005643
34	0.4290206762
35	0.4271799076
36	0.4221001111
37	0.4204859707
38	0.4195692651
39	0.4183075273
40	0.4168318959
41	0.4157019506
42	0.4141180986
43	0.4129802771
44	0.4114006855
45	0.4102184029
46	0.4087983425
47	0.4076024168
48	0.4062403177
49	0.4050861656
50	0.403949534
51	0.4022554203
52	0.4010154173
53	0.3998296178
54	0.3989193539
55	0.3979070699
56	0.3954886202
57	0.3875547416
58	0.3864825647
59	0.3854852254
60	0.3842479526
61	0.3833020835
62	0.3777199643
63	0.3767043396
64	0.375714974
65	0.3746342116
66	0.3736911541
67	0.3727917753
68	0.3718878575
69	0.3710005088
70	0.3701233404
71	0.36488165
72	0.3640731987
73	0.3632955746
74	0.3624629599
75	0.3616626384
76	0.3608692217
77	0.3600702367
78	0.3588942874
79	0.3581149774
80	0.3538004197
81	0.3530091104
82	0.3522395903
83	0.3515018136
84	0.3507331107
85	0.3499300565
86	0.3492023381
87	0.3454571391
88	0.3447367388
89	0.344029745
90	0.3433311574
91	0.3426500993
92	0.3381068438
93	0.3374787923
94	0.3367954981
95	0.3361166647
96	0.3354465459
97	0.3348005208
98	0.333931935
99	0.3332464321
100	0.3284825843
101	0.3278653287
102	0.3272229343
103	0.3266022941
104	0.3259942275
105	0.3221153698
106	0.321480687
107	0.320876715
108	0.320294421
109	0.319495105
110	0.3188387525
111	0.3182656249
112	0.3176989666
113	0.317135744
114	0.3165709665
115	0.3123188282
116	0.3102204338
117	0.3096277791
118	0.3086437989
119	0.3081965311
120	0.3076352437
121	0.3070897293
122	0.3065489481
123	0.3060124679
124	0.3027630059
125	0.3000019539
126	0.2994500052
127	0.298916575
128	0.2984175103
129	0.2978379174
130	0.2971897968
131	0.2966734071
132	0.2934625357
133	0.2929296043
134	0.2924214466
135	0.2919109509
136	0.2914099226
137	0.2909207815
138	0.2904249665
139	0.2899883783
140	0.2860222819
141	0.2854778238
142	0.2849785819
143	0.2843692351
144	0.2838871601
145	0.2834049312
146	0.2822669391
147	0.2817961532
148	0.2813373362
149	0.2808761606
150	0.2804247489
151	0.279975725
152	0.2795294924
153	0.2791066031
154	0.2786632304
155	0.2782242706
156	0.2777933065
157	0.2773666287
158	0.2769463939
159	0.276529057
160	0.2758788227
161	0.2736973516
162	0.2723440057
163	0.2718841275
164	0.2696210986
165	0.2691833114
166	0.2687988317
167	0.2683777782
168	0.2679680552
169	0.2675445405
170	0.2671423045
171	0.2667327685
172	0.2651277184
173	0.2646085016
174	0.2641900106
175	0.263781002
176	0.2632148062
177	0.2627940619
178	0.262398642
179	0.2620080591
180	0.261583246
181	0.2612008651
182	0.2608244832
183	0.2599432977
184	0.2595677603
185	0.2591960913
186	0.2588335941
187	0.2584661463
188	0.2580967451
189	0.2577421251
190	0.2573856396
191	0.2570313673
192	0.2567174792
193	0.2541198728
194	0.2537629964
195	0.2533915257
196	0.2527764271
197	0.252436501
198	0.2520933795
199	0.2504068879
200	0.2500563924
201	0.2496917625
202	0.2493460592
203	0.2490046902
204	0.2483723201
205	0.2477919354
206	0.247446387
207	0.2471094928
208	0.246768771
209	0.2464318112
210	0.2461004579
211	0.245749078
212	0.2452207633
213	0.2448983989
214	0.2445789291
215	0.2442566781
216	0.2439396976
217	0.2436243943
218	0.2431797121
219	0.2428623196
220	0.2425508437
221	0.2422412505
222	0.2386815257
223	0.2350352778
224	0.2325761443
225	0.2322401735
226	0.2319158911
227	0.231621721
228	0.2313058262
229	0.2309967907
230	0.2306914313
231	0.2303756069
232	0.2300769468
233	0.2297793936
234	0.2294837285
235	0.2274999147
236	0.2268207693
237	0.2265193432
238	0.2262406204
239	0.2231153489
240	0.2228058205
241	0.2225189835
242	0.2222319046
243	0.2219495708
244	0.2216699451
245	0.2213772941
246	0.2210948263
247	0.2208203148
248	0.2205144584
249	0.2202191232
250	0.2192843144
251	0.2166522818
252	0.216353038
253	0.216078733
254	0.2158065837
255	0.2152309986
256	0.2149336105
257	0.2146623317
258	0.2142749937
259	0.2140464339
260	0.2137869032
261	0.2135300773
262	0.213132165
263	0.2128857715
264	0.2109060625
265	0.2101253953
266	0.2098587758
267	0.2095969914
268	0.2093757969
269	0.2091266926
270	0.2088787155
271	0.208632215
272	0.2083857227
273	0.2081416307
274	0.2078758836
275	0.2076300726
276	0.207377476
277	0.2071408478
278	0.2065981885
279	0.2063632324
280	0.2061297661
281	0.2058987751
282	0.2056573174
283	0.2054263576
284	0.2045954685
285	0.2043603117
286	0.2026597865
287	0.202422222
288	0.202188278
289	0.2019548225
290	0.2017286703
291	0.2015065206
292	0.2012854621
293	0.2010640782
294	0.2008409077
295	0.2006182802
296	0.2004018453
297	0.19875042
298	0.1985212793
299	0.1983017515
300	0.1974751972
301	0.1972436434
302	0.1970248056
303	0.1968096457
304	0.1965964958
305	0.1940265579
306	0.1938046422
307	0.1934394015
308	0.1932489292
309	0.193029441
310	0.192814567
311	0.192506297
312	0.1922976024
313	0.1920826854
314	0.191874993
315	0.1916724822
316	0.1914653787
317	0.1912784829
318	0.1910765744
319	0.190875364
320	0.1901805531
321	0.1900091235
322	0.1880542957
323	0.1878358737
324	0.1876297765
325	0.1874224664
326	0.1872217978
327	0.187017221
328	0.1868150625
329	0.1866151516
330	0.1864234418
331	0.1862311687
332	0.186035406
333	0.1858408005
334	0.1854902189
335	0.1841562143
336	0.1839565554
337	0.1837625156
338	0.1835639148
339	0.183370788
340	0.1831772799
341	0.1829814977
342	0.1827940512
343	0.1826083178
344	0.1822779752
345	0.1820860408
346	0.1818839538
347	0.1804328542
348	0.1802463121
349	0.180063173
350	0.1798998149
351	0.1776083752
352	0.1774082844
353	0.1771953866
354	0.1770124993
355	0.1746645986
356	0.1744533287
357	0.1742709128
358	0.1741039554
359	0.1739139331
360	0.1737400933
361	0.1735667978
362	0.1734093606
363	0.1732385182
364	0.1714012966
365	0.1712141632
366	0.1709953786
367	0.1708177002
368	0.1706405449
369	0.1704656811
370	0.1702919561
371	0.1701234662
372	0.1699569136
373	0.1697931797
374	0.1695557942
375	0.1681703671
376	0.1679857128
377	0.1678159548
378	0.1676413359
379	0.1674751402
380	0.1673137141
381	0.1671549421
382	0.1656133467
383	0.1653159593
384	0.1651454405
385	0.1649780803
386	0.1648100966
387	0.1646495034
388	0.16448963
389	0.1643420802
390	0.1641657927
391	0.1640072684
392	0.163852066
393	0.1637001779
394	0.1619879344
395	0.1618167098
396	0.1616586111
397	0.1606902398
398	0.1605334331
399	0.1603749928
400	0.1601880357
401	0.1600210802
402	0.1598682107
403	0.1597193209
404	0.1595719331
405	0.1594274616
406	0.1592793274
407	0.1576962691
408	0.1562275663
409	0.1560635487
410	0.1559080359
411	0.1557566497
412	0.1556118398
413	0.1554681514
414	0.1550650425
415	0.1549218448
416	0.1541139985
417	0.1539796798
418	0.1528298033
419	0.1526043424
420	0.1524622938
421	0.1523202862
422	0.1521752286
423	0.1520348169
424	0.151896659
425	0.1517668403
426	0.1516265383
427	0.1511251356
428	0.1509887527
429	0.1508493005
430	0.1507115114
431	0.1505779586
432	0.1504450095
433	0.1503140972
434	0.1501780102
435	0.150047012
436	0.1497288205
437	0.1495506259
438	0.1494192844
439	0.1492919429
440	0.1480325048
441	0.1479036553
442	0.1477711591
443	0.147637719
444	0.1475170576
445	0.1473886673
446	0.1472617929
447	0.1471365712
448	0.1469112362
449	0.1467848139
450	0.1466575643
451	0.1465338569
452	0.1464007358
453	0.1462789201
454	0.1461569647
455	0.1460334931
456	0.1459126103
457	0.1457923577
458	0.1456727182
459	0.1455518535
460	0.1443938165
461	0.1442621304
462	0.1441395578
463	0.1429293427
464	0.1428069923
465	0.1426854368
466	0.1425677048
467	0.1416984543
468	0.1415742218
469	0.14145475
470	0.1413263011
471	0.1412061156
472	0.1410348808
473	0.1409192503
474	0.1404986397
475	0.1403829851
476	0.138714043
477	0.1386004694
478	0.1375044072
479	0.1373804172
480	0.1372632411
481	0.1371494321
482	0.1370360413
483	0.1366428336
484	0.13644617
485	0.1363320693
486	0.1362220267
487	0.1361036171
488	0.1359939285
489	0.1358775297
490	0.1357630002
491	0.135657538
492	0.1355606879
493	0.1354546343
494	0.1343842027
495	0.1342696911
496	0.1341618855
497	0.1340557004
498	0.1339499713
499	0.1338463395
500	0.1336641273
501	0.1335600342
502	0.1334555655
503	0.1333132457
504	0.1332111249
505	0.1331077123
506	0.1330048602
507	0.1320934352
508	0.1320129638
509	0.131831224
510	0.1301686283
511	0.1300493133
512	0.1299387538
513	0.1298359639
514	0.1297360642
515	0.1296361095
516	0.1295384083
517	0.1286160176
518	0.128517452
519	0.1284166123
520	0.1283158545
521	0.1282262823
522	0.1281296115
523	0.1279678613
524	0.1278619414
525	0.1277667415
526	0.1276706999
527	0.1275769059
528	0.1273648247
529	0.1260007512
530	0.125908462
531	0.1258134529
532	0.1257135724
533	0.1256205041
534	0.1255279174
535	0.1254365703
536	0.1253450257
537	0.125253776
538	0.1244999649
539	0.1229801886
540	0.1228903319
541	0.1227923829
542	0.1226982992
543	0.1226064003
544	0.1223923743
545	0.1222944066
546	0.1222032444
547	0.1221110545
548	0.1220217283
549	0.1219336849
550	0.1218449273
551	0.1217569581
552	0.1215443694
553	0.1214556646
554	0.1205381774
555	0.1204519252
556	0.1203600526
557	0.1202714179
558	0.1201871283
559	0.1201001615
560	0.1200140388
561	0.1199269214
562	0.1198482533
563	0.1197627941
564	0.1183700582
565	0.1182739142
566	0.1181757427
567	0.11701184
568	0.1169387545
569	0.1168482781
570	0.11675931
571	0.1166720289
572	0.115841618
573	0.1156714813
574	0.1155834669
575	0.1151890107
576	0.1146539604
577	0.1145621043
578	0.1144749559
579	0.1143883273
580	0.1143039591
581	0.1141660395
582	0.1140779092
583	0.1139922303
584	0.1139092874
585	0.1138290103
586	0.1137484958
587	0.1136662055
588	0.1135864221
589	0.1129184729
590	0.1128415981
591	0.1127604492
592	0.1126776129
