iter	Passed	Remaining
401	17941	4373
402	17991	4330
403	18040	4286
404	18089	4243
405	18157	4203
406	18210	4161
407	18287	4123
408	18345	4081
409	18491	4059
410	18561	4019
411	18617	3976
412	18667	3932
413	18711	3887
414	18757	3841
415	18803	3796
416	18852	3752
417	18894	3706
418	18940	3661
419	18990	3617
420	19046	3574
421	19098	3530
422	19156	3487
423	19206	3442
424	19255	3397
425	19299	3352
426	19339	3306
427	19383	3260
428	19430	3215
429	19470	3169
430	19516	3124
431	19555	3078
432	19595	3032
433	19638	2986
434	19682	2941
435	19722	2895
436	19763	2849
437	19811	2804
438	19850	2758
439	19896	2713
440	19946	2668
441	20011	2625
442	20060	2581
443	20110	2536
444	20156	2491
445	20198	2445
446	20243	2400
447	20292	2355
448	20332	2309
449	20373	2263
450	20412	2217
451	20456	2172
452	20501	2127
453	20551	2082
454	20596	2037
455	20641	1991
456	20681	1945
457	20726	1900
458	20771	1855
459	20816	1810
460	20859	1764
461	20906	1719
462	20947	1673
463	20992	1628
464	21032	1583
465	21069	1537
466	21113	1491
467	21156	1446
468	21196	1401
469	21240	1355
470	21278	1310
471	21323	1264
472	21362	1219
473	21405	1174
474	21447	1128
475	21486	1083
476	21526	1037
477	21569	992
478	21610	947
479	21648	902
480	21688	856
481	21732	811
482	21774	766
483	21813	721
484	21854	675
485	21895	630
486	21936	585
487	21978	540
488	22019	495
489	22059	450
490	22099	405
491	22139	359
492	22181	314
493	22222	269
494	22261	224
495	22303	179
496	22347	134
497	22387	89
498	22431	44
499	22469	0
