iter	Logloss
0	0.633039451
1	0.592715834
2	0.5680180796
3	0.5501243422
4	0.5375150219
5	0.5286026467
6	0.5221409499
7	0.5160753695
8	0.5116888925
9	0.5081503414
10	0.504909927
11	0.502356661
12	0.4994819217
13	0.4972643634
14	0.495504784
15	0.4931338805
16	0.4912027368
17	0.489177482
18	0.4871118648
19	0.4855599908
20	0.4845410449
21	0.4831822634
22	0.4820055995
23	0.4808743694
24	0.4797981281
25	0.4787617145
26	0.4778919178
27	0.4768745557
28	0.4755244237
29	0.4745286365
30	0.4738787107
31	0.4731811926
32	0.4723132286
33	0.4715421552
34	0.4703768761
35	0.4694951113
36	0.4688858593
37	0.4680181164
38	0.4674809514
39	0.4669020688
40	0.466063151
41	0.4655029419
42	0.4648908671
43	0.464381052
44	0.4639100157
45	0.4634027624
46	0.4628905352
47	0.4623051813
48	0.4617354186
49	0.4612158999
50	0.4606077807
51	0.4602416691
52	0.4599557603
53	0.4596684893
54	0.4593009008
55	0.4587585197
56	0.4582671337
57	0.4577758715
58	0.4573287326
59	0.4568582448
60	0.4564855638
61	0.4561395891
62	0.4556946892
63	0.4553094719
64	0.4549181367
65	0.4542353965
66	0.4536359548
67	0.4532714984
68	0.4529498592
69	0.4526622512
70	0.452284495
71	0.4518221697
72	0.4511966047
73	0.4505636218
74	0.4502470191
75	0.450041953
76	0.4495938487
77	0.4493906052
78	0.4487869288
79	0.4485280948
80	0.4482195764
81	0.4480024686
82	0.4476163115
83	0.4472753426
84	0.446973771
85	0.446647749
86	0.4464288816
87	0.4461563649
88	0.445897144
89	0.4456003379
90	0.4451768094
91	0.4449847943
92	0.4446868405
93	0.4444509227
94	0.4440772954
95	0.4436705482
96	0.443308062
97	0.4430279923
98	0.4427841673
99	0.4425777432
100	0.442241297
101	0.4419800874
102	0.4416672733
103	0.441366354
104	0.4412225329
105	0.4408062983
106	0.4405561021
107	0.4401858384
108	0.4398120871
109	0.4395683669
110	0.4394089822
111	0.4392100964
112	0.4389286069
113	0.4385557359
114	0.4383893074
115	0.4381400647
116	0.4379240925
117	0.4377435046
118	0.4374656833
119	0.437346384
120	0.4371260682
121	0.4369514284
122	0.4367305737
123	0.4365740565
124	0.4362717138
125	0.4361281525
126	0.4359547475
127	0.4357713494
128	0.4356163759
129	0.4354323397
130	0.4352921199
131	0.4352037034
132	0.4350219195
133	0.4348686795
134	0.4345870885
135	0.4344196305
136	0.4341774389
137	0.4340579529
138	0.4339156797
139	0.4337010179
140	0.4333724233
141	0.4330639676
142	0.4328621327
143	0.432509694
144	0.4323082322
145	0.4320700925
146	0.4319307088
147	0.4317155768
148	0.4314952359
149	0.4312304727
150	0.4310744745
151	0.4309199729
152	0.4307235924
153	0.430601396
154	0.4304036272
155	0.4303206549
156	0.4301896172
157	0.4298889553
158	0.4297277006
159	0.4296199276
160	0.4294247964
161	0.42929623
162	0.429107232
163	0.4289548557
164	0.428717602
165	0.4286574374
166	0.4284721923
167	0.4282292678
168	0.4279843195
169	0.4278867231
170	0.4277933861
171	0.4275711596
172	0.4273959485
173	0.4273276403
174	0.4270954802
175	0.4269231563
176	0.4267589813
177	0.426610975
